Variable_1,Variable_2,Value
30: OBA,11: 2KI,0.7454331
31: JON,11: 2KI,0.7472862
32: MIC,11: 2KI,0.73974985
33: NAM,11: 2KI,0.6800853
34: HAB,11: 2KI,0.6275335
35: ZEP,11: 2KI,0.7263879
36: HAG,11: 2KI,0.777205
37: ZEC,11: 2KI,0.7145955
38: MAL,11: 2KI,0.7099429
54: MAT,11: 2KI,0.51059103
55: MRK,11: 2KI,0.62383515
56: LUK,11: 2KI,0.5930176
57: JHN,11: 2KI,0.544328
58: ACT,11: 2KI,0.55295223
59: ROM,11: 2KI,0.4137744
60: 1CO,11: 2KI,0.42489898
61: 2CO,11: 2KI,0.44728667
62: GAL,11: 2KI,0.5732194
63: EPH,11: 2KI,0.4573976
64: PHP,11: 2KI,0.53386205
65: COL,11: 2KI,0.52998877
66: 1TH,11: 2KI,0.6330918
67: 2TH,11: 2KI,0.6705808
68: 1TI,11: 2KI,0.51922107
69: 2TI,11: 2KI,0.6040173
70: TIT,11: 2KI,0.6498301
71: PHM,11: 2KI,0.66979015
72: HEB,11: 2KI,0.59576404
73: JAS,11: 2KI,0.6012287
74: 1PE,11: 2KI,0.5583955
75: 2PE,11: 2KI,0.6844269
76: 1JN,11: 2KI,0.63417286
77: 2JN,11: 2KI,0.73683375
78: 3JN,11: 2KI,0.7022588
79: JUD,11: 2KI,0.6796483
80: REV,11: 2KI,0.49986678
0: GEN,12: 1CH,0.5089844
1: EXO,12: 1CH,0.476531
2: LEV,12: 1CH,0.4371059
3: NUM,12: 1CH,0.5503091
4: DEU,12: 1CH,0.36784866
5: JOS,12: 1CH,0.63074535
6: JDG,12: 1CH,0.5139514
7: RUT,12: 1CH,0.7186697
8: 1SA,12: 1CH,0.5740751
9: 2SA,12: 1CH,0.68493253
10: 1KI,12: 1CH,0.48909858
11: 2KI,12: 1CH,0.3395853
12: 1CH,12: 1CH,0.9999999
13: 2CH,12: 1CH,0.5127053
14: EZR,12: 1CH,0.52281314
15: NEH,12: 1CH,0.39130762
16: EST,12: 1CH,0.3701553
17: JOB,12: 1CH,0.30092096
18: PSA,12: 1CH,0.44699115
19: PRO,12: 1CH,0.26695564
20: ECC,12: 1CH,0.33349705
21: SNG,12: 1CH,0.51820785
22: ISA,12: 1CH,0.50146246
23: JER,12: 1CH,0.4303595
24: LAM,12: 1CH,0.48189792
25: EZK,12: 1CH,0.40410998
26: DAN,12: 1CH,0.37611073
27: HOS,12: 1CH,0.5082221
28: JOL,12: 1CH,0.6239926
29: AMO,12: 1CH,0.5977556
30: OBA,12: 1CH,0.6757671
31: JON,12: 1CH,0.6518345
32: MIC,12: 1CH,0.5512124
33: NAM,12: 1CH,0.61045974
34: HAB,12: 1CH,0.551553
35: ZEP,12: 1CH,0.6408998
36: HAG,12: 1CH,0.6458189
37: ZEC,12: 1CH,0.55732834
38: MAL,12: 1CH,0.6041147
54: MAT,12: 1CH,0.5079041
55: MRK,12: 1CH,0.47483796
56: LUK,12: 1CH,0.559897
57: JHN,12: 1CH,0.3571019
58: ACT,12: 1CH,0.5195476
59: ROM,12: 1CH,0.54675525
60: 1CO,12: 1CH,0.4584935
61: 2CO,12: 1CH,0.5781346
62: GAL,12: 1CH,0.5693575
63: EPH,12: 1CH,0.5502621
64: PHP,12: 1CH,0.604595
65: COL,12: 1CH,0.57487446
66: 1TH,12: 1CH,0.65679866
67: 2TH,12: 1CH,0.6291019
68: 1TI,12: 1CH,0.5740448
69: 2TI,12: 1CH,0.6377733
70: TIT,12: 1CH,0.668421
71: PHM,12: 1CH,0.66642255
72: HEB,12: 1CH,0.54106945
73: JAS,12: 1CH,0.56112325
74: 1PE,12: 1CH,0.5943843
75: 2PE,12: 1CH,0.6204467
76: 1JN,12: 1CH,0.42123765
77: 2JN,12: 1CH,0.6683808
78: 3JN,12: 1CH,0.64615965
79: JUD,12: 1CH,0.6737009
80: REV,12: 1CH,0.45868605
0: GEN,13: 2CH,0.560602
1: EXO,13: 2CH,0.5249988
2: LEV,13: 2CH,0.5892663
3: NUM,13: 2CH,0.64442885
4: DEU,13: 2CH,0.6247356
5: JOS,13: 2CH,0.58224356
6: JDG,13: 2CH,0.5559762
7: RUT,13: 2CH,0.7036009
8: 1SA,13: 2CH,0.6161259
9: 2SA,13: 2CH,0.52320707
10: 1KI,13: 2CH,0.9220533
11: 2KI,13: 2CH,0.57920957
12: 1CH,13: 2CH,0.5127053
13: 2CH,13: 2CH,1.0000001
14: EZR,13: 2CH,0.66982293
15: NEH,13: 2CH,0.46924013
16: EST,13: 2CH,0.481814
17: JOB,13: 2CH,0.34691474
18: PSA,13: 2CH,0.5021231
19: PRO,13: 2CH,0.49386638
20: ECC,13: 2CH,0.52179056
21: SNG,13: 2CH,0.68159986
22: ISA,13: 2CH,0.50878227
23: JER,13: 2CH,0.6262709
24: LAM,13: 2CH,0.6149754
25: EZK,13: 2CH,0.56491643
26: DAN,13: 2CH,0.61298424
27: HOS,13: 2CH,0.67702246
28: JOL,13: 2CH,0.6974293
29: AMO,13: 2CH,0.7090194
30: OBA,13: 2CH,0.75810355
31: JON,13: 2CH,0.69495356
32: MIC,13: 2CH,0.69554484
33: NAM,13: 2CH,0.7041251
34: HAB,13: 2CH,0.71304363
35: ZEP,13: 2CH,0.76356596
36: HAG,13: 2CH,0.8055979
37: ZEC,13: 2CH,0.776794
38: MAL,13: 2CH,0.81133884
54: MAT,13: 2CH,0.5222751
55: MRK,13: 2CH,0.50888866
56: LUK,13: 2CH,0.5865369
57: JHN,13: 2CH,0.44200101
58: ACT,13: 2CH,0.47346428
59: ROM,13: 2CH,0.5298822
60: 1CO,13: 2CH,0.4476232
61: 2CO,13: 2CH,0.5666659
62: GAL,13: 2CH,0.6189941
63: EPH,13: 2CH,0.6372437
64: PHP,13: 2CH,0.6168334
65: COL,13: 2CH,0.6760891
66: 1TH,13: 2CH,0.7035646
67: 2TH,13: 2CH,0.725343
68: 1TI,13: 2CH,0.62472117
69: 2TI,13: 2CH,0.689704
70: TIT,13: 2CH,0.72441876
71: PHM,13: 2CH,0.7223349
72: HEB,13: 2CH,0.56328964
73: JAS,13: 2CH,0.66148305
74: 1PE,13: 2CH,0.67107326
75: 2PE,13: 2CH,0.71122533
76: 1JN,13: 2CH,0.5914957
77: 2JN,13: 2CH,0.7523599
78: 3JN,13: 2CH,0.7684846
79: JUD,13: 2CH,0.768346
80: REV,13: 2CH,0.49614725
0: GEN,14: EZR,0.39791742
1: EXO,14: EZR,0.62120545
2: LEV,14: EZR,0.65648526
3: NUM,14: EZR,0.7352962
4: DEU,14: EZR,0.6503136
5: JOS,14: EZR,0.53096795
6: JDG,14: EZR,0.4982287
7: RUT,14: EZR,0.6426057
8: 1SA,14: EZR,0.51442134
9: 2SA,14: EZR,0.52577615
10: 1KI,14: EZR,0.6828991
11: 2KI,14: EZR,0.5258722
12: 1CH,14: EZR,0.52281314
13: 2CH,14: EZR,0.66982293
14: EZR,14: EZR,1
15: NEH,14: EZR,0.82056963
16: EST,14: EZR,0.70049304
17: JOB,14: EZR,0.351252
18: PSA,14: EZR,0.44428763
19: PRO,14: EZR,0.31838787
20: ECC,14: EZR,0.5977736
21: SNG,14: EZR,0.5904375
22: ISA,14: EZR,0.44295824
23: JER,14: EZR,0.56269723
24: LAM,14: EZR,0.62685007
25: EZK,14: EZR,0.54467237
26: DAN,14: EZR,0.5878548
27: HOS,14: EZR,0.5955101
28: JOL,14: EZR,0.7212828
29: AMO,14: EZR,0.67558986
30: OBA,14: EZR,0.7423082
31: JON,14: EZR,0.7404707
32: MIC,14: EZR,0.6502207
33: NAM,14: EZR,0.6449413
34: HAB,14: EZR,0.630174
35: ZEP,14: EZR,0.7093511
36: HAG,14: EZR,0.81649363
37: ZEC,14: EZR,0.69687843
38: MAL,14: EZR,0.7880843
54: MAT,14: EZR,0.50257957
55: MRK,14: EZR,0.5180251
56: LUK,14: EZR,0.574673
57: JHN,14: EZR,0.5356121
58: ACT,14: EZR,0.6240681
59: ROM,14: EZR,0.68685144
60: 1CO,14: EZR,0.6456324
61: 2CO,14: EZR,0.70893425
62: GAL,14: EZR,0.7083949
63: EPH,14: EZR,0.70829374
64: PHP,14: EZR,0.70328754
65: COL,14: EZR,0.7272594
66: 1TH,14: EZR,0.7787415
67: 2TH,14: EZR,0.7672534
68: 1TI,14: EZR,0.722819
69: 2TI,14: EZR,0.75221646
70: TIT,14: EZR,0.79647493
71: PHM,14: EZR,0.7708898
72: HEB,14: EZR,0.70674765
73: JAS,14: EZR,0.66408116
74: 1PE,14: EZR,0.7386402
75: 2PE,14: EZR,0.7321705
76: 1JN,14: EZR,0.6201477
77: 2JN,14: EZR,0.7694461
78: 3JN,14: EZR,0.788084
79: JUD,14: EZR,0.8010393
80: REV,14: EZR,0.48696718
0: GEN,15: NEH,0.41474372
1: EXO,15: NEH,0.53782135
2: LEV,15: NEH,0.44842455
3: NUM,15: NEH,0.5855402
4: DEU,15: NEH,0.5970751
5: JOS,15: NEH,0.50508595
6: JDG,15: NEH,0.46978056
7: RUT,15: NEH,0.60716105
8: 1SA,15: NEH,0.42230427
9: 2SA,15: NEH,0.43833014
10: 1KI,15: NEH,0.48685417
11: 2KI,15: NEH,0.48739552
12: 1CH,15: NEH,0.39130762
13: 2CH,15: NEH,0.46924013
14: EZR,15: NEH,0.82056963
15: NEH,15: NEH,1
16: EST,15: NEH,0.49276423
17: JOB,15: NEH,0.3547874
18: PSA,15: NEH,0.38970828
19: PRO,15: NEH,0.2314687
20: ECC,15: NEH,0.47396797
21: SNG,15: NEH,0.6018843
22: ISA,15: NEH,0.34569615
23: JER,15: NEH,0.5843363
24: LAM,15: NEH,0.622027
25: EZK,15: NEH,0.4514062
26: DAN,15: NEH,0.3748707
27: HOS,15: NEH,0.55479175
28: JOL,15: NEH,0.70919925
29: AMO,15: NEH,0.6091689
30: OBA,15: NEH,0.657543
31: JON,15: NEH,0.6809095
32: MIC,15: NEH,0.59894437
33: NAM,15: NEH,0.59957016
34: HAB,15: NEH,0.55255336
35: ZEP,15: NEH,0.630478
36: HAG,15: NEH,0.6965755
37: ZEC,15: NEH,0.5656228
38: MAL,15: NEH,0.6962027
54: MAT,15: NEH,0.44150585
55: MRK,15: NEH,0.45812082
56: LUK,15: NEH,0.49008325
57: JHN,15: NEH,0.56712776
58: ACT,15: NEH,0.5938513
59: ROM,15: NEH,0.57210124
60: 1CO,15: NEH,0.5044554
61: 2CO,15: NEH,0.58348256
62: GAL,15: NEH,0.60451746
63: EPH,15: NEH,0.53756446
64: PHP,15: NEH,0.6034707
65: COL,15: NEH,0.57475597
66: 1TH,15: NEH,0.67242986
67: 2TH,15: NEH,0.6496148
68: 1TI,15: NEH,0.59945136
69: 2TI,15: NEH,0.6366905
70: TIT,15: NEH,0.680444
71: PHM,15: NEH,0.65985173
72: HEB,15: NEH,0.5981211
73: JAS,15: NEH,0.56834465
74: 1PE,15: NEH,0.59044796
75: 2PE,15: NEH,0.61778706
76: 1JN,15: NEH,0.5703889
77: 2JN,15: NEH,0.65728325
78: 3JN,15: NEH,0.68043613
79: JUD,15: NEH,0.66735214
80: REV,15: NEH,0.40353107
0: GEN,16: EST,0.36390382
1: EXO,16: EST,0.6116498
2: LEV,16: EST,0.64043945
3: NUM,16: EST,0.55416715
4: DEU,16: EST,0.57693386
5: JOS,16: EST,0.4706013
6: JDG,16: EST,0.43350428
7: RUT,16: EST,0.6151538
8: 1SA,16: EST,0.500975
9: 2SA,16: EST,0.5714893
10: 1KI,16: EST,0.5035596
11: 2KI,16: EST,0.61331695
12: 1CH,16: EST,0.3701553
13: 2CH,16: EST,0.481814
14: EZR,16: EST,0.70049304
15: NEH,16: EST,0.49276423
16: EST,16: EST,1
17: JOB,16: EST,0.420432
18: PSA,16: EST,0.449465
19: PRO,16: EST,0.45915663
20: ECC,16: EST,0.6683945
21: SNG,16: EST,0.49390325
22: ISA,16: EST,0.41513672
23: JER,16: EST,0.41737342
24: LAM,16: EST,0.5660503
25: EZK,16: EST,0.5020959
26: DAN,16: EST,0.6853913
27: HOS,16: EST,0.43001753
28: JOL,16: EST,0.5537921
29: AMO,16: EST,0.5806066
30: OBA,16: EST,0.7018146
31: JON,16: EST,0.71502215
32: MIC,16: EST,0.5965516
33: NAM,16: EST,0.6105338
34: HAB,16: EST,0.5975857
35: ZEP,16: EST,0.6126907
36: HAG,16: EST,0.73107207
37: ZEC,16: EST,0.67844886
38: MAL,16: EST,0.65593725
54: MAT,16: EST,0.5457097
55: MRK,16: EST,0.56807065
56: LUK,16: EST,0.64160836
57: JHN,16: EST,0.62053776
58: ACT,16: EST,0.6234412
59: ROM,16: EST,0.586787
60: 1CO,16: EST,0.6200798
61: 2CO,16: EST,0.61070895
62: GAL,16: EST,0.68420225
63: EPH,16: EST,0.65764517
64: PHP,16: EST,0.6876711
65: COL,16: EST,0.6902699
66: 1TH,16: EST,0.7224251
67: 2TH,16: EST,0.7329382
68: 1TI,16: EST,0.71525246
69: 2TI,16: EST,0.73519045
70: TIT,16: EST,0.7469783
71: PHM,16: EST,0.73349154
72: HEB,16: EST,0.63648325
73: JAS,16: EST,0.66094583
74: 1PE,16: EST,0.7203446
75: 2PE,16: EST,0.75629103
76: 1JN,16: EST,0.67773354
77: 2JN,16: EST,0.75511634
78: 3JN,16: EST,0.7407689
79: JUD,16: EST,0.756338
80: REV,16: EST,0.5847687
0: GEN,17: JOB,0.5105742
1: EXO,17: JOB,0.47320628
2: LEV,17: JOB,0.42566544
3: NUM,17: JOB,0.37477297
4: DEU,17: JOB,0.5135368
5: JOS,17: JOB,0.31109217
6: JDG,17: JOB,0.42034942
7: RUT,17: JOB,0.59946525
8: 1SA,17: JOB,0.46282113
9: 2SA,17: JOB,0.4087219
10: 1KI,17: JOB,0.37562296
11: 2KI,17: JOB,0.390845
12: 1CH,17: JOB,0.30092096
13: 2CH,17: JOB,0.34691474
14: EZR,17: JOB,0.351252
15: NEH,17: JOB,0.3547874
16: EST,17: JOB,0.420432
17: JOB,17: JOB,0.99999994
18: PSA,17: JOB,0.59252787
19: PRO,17: JOB,0.44686434
20: ECC,17: JOB,0.6556388
21: SNG,17: JOB,0.66295326
22: ISA,17: JOB,0.5226556
23: JER,17: JOB,0.64100575
24: LAM,17: JOB,0.7275583
25: EZK,17: JOB,0.6227719
26: DAN,17: JOB,0.43066373
27: HOS,17: JOB,0.5410757
28: JOL,17: JOB,0.59880716
29: AMO,17: JOB,0.6182424
30: OBA,17: JOB,0.66165346
31: JON,17: JOB,0.7010865
32: MIC,17: JOB,0.6222732
33: NAM,17: JOB,0.72339463
34: HAB,17: JOB,0.72333443
35: ZEP,17: JOB,0.63765156
36: HAG,17: JOB,0.6116926
37: ZEC,17: JOB,0.63830274
38: MAL,17: JOB,0.6507003
54: MAT,17: JOB,0.5058212
55: MRK,17: JOB,0.5493774
56: LUK,17: JOB,0.52303845
57: JHN,17: JOB,0.5795892
58: ACT,17: JOB,0.44929063
59: ROM,17: JOB,0.4904967
60: 1CO,17: JOB,0.48009735
61: 2CO,17: JOB,0.55879176
62: GAL,17: JOB,0.58293056
63: EPH,17: JOB,0.52909285
64: PHP,17: JOB,0.62605405
65: COL,17: JOB,0.60251844
66: 1TH,17: JOB,0.61252135
67: 2TH,17: JOB,0.6606036
68: 1TI,17: JOB,0.5278427
69: 2TI,17: JOB,0.5957479
70: TIT,17: JOB,0.5851428
71: PHM,17: JOB,0.6652589
72: HEB,17: JOB,0.5223723
73: JAS,17: JOB,0.7006487
74: 1PE,17: JOB,0.6218788
75: 2PE,17: JOB,0.6832134
76: 1JN,17: JOB,0.6845062
77: 2JN,17: JOB,0.6394486
78: 3JN,17: JOB,0.66102
79: JUD,17: JOB,0.6350199
80: REV,17: JOB,0.49508813
0: GEN,18: PSA,0.5204879
1: EXO,18: PSA,0.48191628
2: LEV,18: PSA,0.40781602
3: NUM,18: PSA,0.3980548
4: DEU,18: PSA,0.5357743
5: JOS,18: PSA,0.33996618
6: JDG,18: PSA,0.42553866
7: RUT,18: PSA,0.66090465
8: 1SA,18: PSA,0.50607705
9: 2SA,18: PSA,0.4630185
10: 1KI,18: PSA,0.42591137
11: 2KI,18: PSA,0.4282419
12: 1CH,18: PSA,0.44699115
13: 2CH,18: PSA,0.5021231
14: EZR,18: PSA,0.44428763
15: NEH,18: PSA,0.38970828
16: EST,18: PSA,0.449465
17: JOB,18: PSA,0.59252787
18: PSA,18: PSA,1.0000001
19: PRO,18: PSA,0.5285005
20: ECC,18: PSA,0.6025882
21: SNG,18: PSA,0.6523915
22: ISA,18: PSA,0.5613798
23: JER,18: PSA,0.57612884
24: LAM,18: PSA,0.8454928
25: EZK,18: PSA,0.5092115
26: DAN,18: PSA,0.51342493
27: HOS,18: PSA,0.6619873
28: JOL,18: PSA,0.7519996
29: AMO,18: PSA,0.62294114
30: OBA,18: PSA,0.7370544
31: JON,18: PSA,0.75144464
32: MIC,18: PSA,0.7811849
33: NAM,18: PSA,0.78769016
34: HAB,18: PSA,0.84477633
35: ZEP,18: PSA,0.77848935
36: HAG,18: PSA,0.6071178
37: ZEC,18: PSA,0.60829335
38: MAL,18: PSA,0.70192266
54: MAT,18: PSA,0.4349003
55: MRK,18: PSA,0.3514167
56: LUK,18: PSA,0.4936617
57: JHN,18: PSA,0.42415282
58: ACT,18: PSA,0.4510603
59: ROM,18: PSA,0.5691103
60: 1CO,18: PSA,0.42723987
61: 2CO,18: PSA,0.6190471
62: GAL,18: PSA,0.59798455
63: EPH,18: PSA,0.6346872
64: PHP,18: PSA,0.66818
65: COL,18: PSA,0.66721004
66: 1TH,18: PSA,0.70006114
67: 2TH,18: PSA,0.7085581
68: 1TI,18: PSA,0.60978085
69: 2TI,18: PSA,0.68888104
70: TIT,18: PSA,0.6607778
71: PHM,18: PSA,0.68969244
72: HEB,18: PSA,0.5453711
73: JAS,18: PSA,0.70491964
74: 1PE,18: PSA,0.702357
75: 2PE,18: PSA,0.7368596
76: 1JN,18: PSA,0.6125839
77: 2JN,18: PSA,0.6469516
78: 3JN,18: PSA,0.7026214
79: JUD,18: PSA,0.701406
80: REV,18: PSA,0.3683991
0: GEN,19: PRO,0.3901432
1: EXO,19: PRO,0.40758288
2: LEV,19: PRO,0.41066802
3: NUM,19: PRO,0.27641615
4: DEU,19: PRO,0.49952126
5: JOS,19: PRO,0.30734777
6: JDG,19: PRO,0.374
7: RUT,19: PRO,0.5935198
8: 1SA,19: PRO,0.3742481
9: 2SA,19: PRO,0.4164057
10: 1KI,19: PRO,0.45660296
11: 2KI,19: PRO,0.41063005
12: 1CH,19: PRO,0.26695564
13: 2CH,19: PRO,0.49386638
14: EZR,19: PRO,0.31838787
15: NEH,19: PRO,0.2314687
16: EST,19: PRO,0.45915663
17: JOB,19: PRO,0.44686434
18: PSA,19: PRO,0.5285005
19: PRO,19: PRO,1
20: ECC,19: PRO,0.6935821
21: SNG,19: PRO,0.5990824
22: ISA,19: PRO,0.5654966
23: JER,19: PRO,0.551302
24: LAM,19: PRO,0.5597373
25: EZK,19: PRO,0.45476094
26: DAN,19: PRO,0.41584626
27: HOS,19: PRO,0.6514349
28: JOL,19: PRO,0.5973667
29: AMO,19: PRO,0.69903743
30: OBA,19: PRO,0.68414605
31: JON,19: PRO,0.57713056
32: MIC,19: PRO,0.7065169
33: NAM,19: PRO,0.73647183
34: HAB,19: PRO,0.7518842
35: ZEP,19: PRO,0.65025747
36: HAG,19: PRO,0.6215256
37: ZEC,19: PRO,0.5733131
38: MAL,19: PRO,0.67716676
54: MAT,19: PRO,0.5037426
55: MRK,19: PRO,0.45943183
56: LUK,19: PRO,0.50764406
57: JHN,19: PRO,0.473551
58: ACT,19: PRO,0.31923905
59: ROM,19: PRO,0.51564974
60: 1CO,19: PRO,0.5428604
61: 2CO,19: PRO,0.52881813
62: GAL,19: PRO,0.5907781
63: EPH,19: PRO,0.6106691
64: PHP,19: PRO,0.62724555
65: COL,19: PRO,0.65334016
66: 1TH,19: PRO,0.6262677
67: 2TH,19: PRO,0.6800166
68: 1TI,19: PRO,0.72998303
69: 2TI,19: PRO,0.68625754
70: TIT,19: PRO,0.6994886
71: PHM,19: PRO,0.65202814
72: HEB,19: PRO,0.4522003
73: JAS,19: PRO,0.7966417
74: 1PE,19: PRO,0.68029094
75: 2PE,19: PRO,0.71854556
76: 1JN,19: PRO,0.69401765
77: 2JN,19: PRO,0.65102375
78: 3JN,19: PRO,0.6693207
79: JUD,19: PRO,0.6611739
80: REV,19: PRO,0.36998534
0: GEN,20: ECC,0.53532666
1: EXO,20: ECC,0.59752494
2: LEV,20: ECC,0.49766123
3: NUM,20: ECC,0.42255768
4: DEU,20: ECC,0.7545618
5: JOS,20: ECC,0.30487868
6: JDG,20: ECC,0.3750393
7: RUT,20: ECC,0.6596361
8: 1SA,20: ECC,0.52990234
9: 2SA,20: ECC,0.560225
10: 1KI,20: ECC,0.5682729
11: 2KI,20: ECC,0.45386815
12: 1CH,20: ECC,0.33349705
13: 2CH,20: ECC,0.52179056
14: EZR,20: ECC,0.5977736
15: NEH,20: ECC,0.47396797
16: EST,20: ECC,0.6683945
17: JOB,20: ECC,0.6556388
18: PSA,20: ECC,0.6025882
19: PRO,20: ECC,0.6935821
20: ECC,20: ECC,1
21: SNG,20: ECC,0.59147245
22: ISA,20: ECC,0.4963651
23: JER,20: ECC,0.5582955
24: LAM,20: ECC,0.623336
25: EZK,20: ECC,0.64908767
26: DAN,20: ECC,0.6240197
27: HOS,20: ECC,0.5646624
28: JOL,20: ECC,0.6057056
29: AMO,20: ECC,0.6795105
30: OBA,20: ECC,0.7642657
31: JON,20: ECC,0.7614186
32: MIC,20: ECC,0.6837772
33: NAM,20: ECC,0.7415431
34: HAB,20: ECC,0.7827323
35: ZEP,20: ECC,0.66418105
36: HAG,20: ECC,0.72378224
37: ZEC,20: ECC,0.6229221
38: MAL,20: ECC,0.7811168
54: MAT,20: ECC,0.6273921
55: MRK,20: ECC,0.57414263
56: LUK,20: ECC,0.6921856
57: JHN,20: ECC,0.6725812
58: ACT,20: ECC,0.529567
59: ROM,20: ECC,0.6618971
60: 1CO,20: ECC,0.6985036
61: 2CO,20: ECC,0.73676664
62: GAL,20: ECC,0.75456524
63: EPH,20: ECC,0.75010186
64: PHP,20: ECC,0.781928
65: COL,20: ECC,0.7908491
66: 1TH,20: ECC,0.79075253
67: 2TH,20: ECC,0.82753074
68: 1TI,20: ECC,0.8066565
69: 2TI,20: ECC,0.7859506
70: TIT,20: ECC,0.7826832
71: PHM,20: ECC,0.79313827
72: HEB,20: ECC,0.65519416
73: JAS,20: ECC,0.82384413
74: 1PE,20: ECC,0.826495
75: 2PE,20: ECC,0.8190115
76: 1JN,20: ECC,0.8270258
77: 2JN,20: ECC,0.77352196
78: 3JN,20: ECC,0.8025715
79: JUD,20: ECC,0.791629
80: REV,20: ECC,0.4217099
0: GEN,21: SNG,0.63290966
1: EXO,21: SNG,0.4950831
2: LEV,21: SNG,0.5128448
3: NUM,21: SNG,0.5352633
4: DEU,21: SNG,0.5215234
5: JOS,21: SNG,0.59200233
6: JDG,21: SNG,0.6664946
7: RUT,21: SNG,0.84716254
8: 1SA,21: SNG,0.4856302
9: 2SA,21: SNG,0.52821594
10: 1KI,21: SNG,0.6449055
11: 2KI,21: SNG,0.5785348
12: 1CH,21: SNG,0.51820785
13: 2CH,21: SNG,0.68159986
14: EZR,21: SNG,0.5904375
15: NEH,21: SNG,0.6018843
16: EST,21: SNG,0.49390325
17: JOB,21: SNG,0.66295326
18: PSA,21: SNG,0.6523915
19: PRO,21: SNG,0.5990824
20: ECC,21: SNG,0.59147245
21: SNG,21: SNG,1.0000001
22: ISA,21: SNG,0.58394486
23: JER,21: SNG,0.6619596
24: LAM,21: SNG,0.845805
25: EZK,21: SNG,0.5839663
26: DAN,21: SNG,0.38089818
27: HOS,21: SNG,0.83768463
28: JOL,21: SNG,0.8254725
29: AMO,21: SNG,0.7771372
30: OBA,21: SNG,0.85168356
31: JON,21: SNG,0.83153105
32: MIC,21: SNG,0.81631565
33: NAM,21: SNG,0.8868109
34: HAB,21: SNG,0.8386098
35: ZEP,21: SNG,0.81905735
36: HAG,21: SNG,0.8019339
37: ZEC,21: SNG,0.75344175
38: MAL,21: SNG,0.8168681
54: MAT,21: SNG,0.67787206
55: MRK,21: SNG,0.67964303
56: LUK,21: SNG,0.71282685
57: JHN,21: SNG,0.7056785
58: ACT,21: SNG,0.5096257
59: ROM,21: SNG,0.6486315
60: 1CO,21: SNG,0.632451
61: 2CO,21: SNG,0.6832154
62: GAL,21: SNG,0.74001825
63: EPH,21: SNG,0.67795104
64: PHP,21: SNG,0.7880013
65: COL,21: SNG,0.74478596
66: 1TH,21: SNG,0.8001945
67: 2TH,21: SNG,0.8163427
68: 1TI,21: SNG,0.73291427
69: 2TI,21: SNG,0.81513226
70: TIT,21: SNG,0.8080547
71: PHM,21: SNG,0.8478884
72: HEB,21: SNG,0.60275364
73: JAS,21: SNG,0.82601327
74: 1PE,21: SNG,0.7651953
75: 2PE,21: SNG,0.81385714
76: 1JN,21: SNG,0.80974907
77: 2JN,21: SNG,0.8330897
78: 3JN,21: SNG,0.8467811
79: JUD,21: SNG,0.81918323
80: REV,21: SNG,0.6651935
0: GEN,22: ISA,0.4005207
1: EXO,22: ISA,0.4762407
2: LEV,22: ISA,0.42803282
3: NUM,22: ISA,0.44575652
4: DEU,22: ISA,0.52579814
5: JOS,22: ISA,0.45272762
6: JDG,22: ISA,0.4891447
7: RUT,22: ISA,0.5992086
8: 1SA,22: ISA,0.4739868
9: 2SA,22: ISA,0.47669977
10: 1KI,22: ISA,0.4034025
11: 2KI,22: ISA,0.56155187
12: 1CH,22: ISA,0.50146246
13: 2CH,22: ISA,0.50878227
14: EZR,22: ISA,0.44295824
15: NEH,22: ISA,0.34569615
16: EST,22: ISA,0.41513672
17: JOB,22: ISA,0.5226556
18: PSA,22: ISA,0.5613798
19: PRO,22: ISA,0.5654966
20: ECC,22: ISA,0.4963651
21: SNG,22: ISA,0.58394486
22: ISA,22: ISA,1.0000002
23: JER,22: ISA,0.5100902
24: LAM,22: ISA,0.6464212
25: EZK,22: ISA,0.4118415
26: DAN,22: ISA,0.46552202
27: HOS,22: ISA,0.7667639
28: JOL,22: ISA,0.7686396
29: AMO,22: ISA,0.7951458
30: OBA,22: ISA,0.72521037
31: JON,22: ISA,0.64778996
32: MIC,22: ISA,0.8030174
33: NAM,22: ISA,0.7828198
34: HAB,22: ISA,0.7591366
35: ZEP,22: ISA,0.799056
36: HAG,22: ISA,0.6959533
37: ZEC,22: ISA,0.739034
38: MAL,22: ISA,0.70154613
54: MAT,22: ISA,0.3275957
55: MRK,22: ISA,0.37983838
56: LUK,22: ISA,0.34591675
57: JHN,22: ISA,0.32870042
58: ACT,22: ISA,0.38659963
59: ROM,22: ISA,0.42780563
60: 1CO,22: ISA,0.42001003
61: 2CO,22: ISA,0.5256564
62: GAL,22: ISA,0.47367388
63: EPH,22: ISA,0.52209705
64: PHP,22: ISA,0.5306335
65: COL,22: ISA,0.5682854
66: 1TH,22: ISA,0.60664135
67: 2TH,22: ISA,0.6449745
68: 1TI,22: ISA,0.52755976
69: 2TI,22: ISA,0.58956546
70: TIT,22: ISA,0.63896227
71: PHM,22: ISA,0.6351388
72: HEB,22: ISA,0.48482826
73: JAS,22: ISA,0.66609395
74: 1PE,22: ISA,0.6064008
75: 2PE,22: ISA,0.6870811
76: 1JN,22: ISA,0.548428
77: 2JN,22: ISA,0.6399094
78: 3JN,22: ISA,0.63822603
79: JUD,22: ISA,0.6429215
80: REV,22: ISA,0.48867506
0: GEN,23: JER,0.5711059
1: EXO,23: JER,0.566972
2: LEV,23: JER,0.5076147
3: NUM,23: JER,0.5544541
